word	frequency
çölə	106
ikisi	106
fikirləşdi	106
belinə	106
a	105
sözünü	105
gəlin	105
işi	105
oldular	105
özüm	105
çoxlu	105
yeri	105
gözləri	105
əvvəlcə	105
yerdən	105
yatdı	105
pişik	105
eşitdi	104
ortancıl	104
dalına	104
göydən	103
ağzına	103
keçi	102
pələng	102
parça	102
söylədi	102
ağacı	102
maa	102
orada	102
ən	102
siçan	102
ayrı	102
qızlar	102
yerindən	101
ola	101
vaxtı	101
gül	101
üçüncü	101
yusif	101
kəsib	100
dedim	100
bağladı	100
paçcahın	100
meşədə	100
getmək	99
varıdı	99
uşaq	99
hansı	98
bazara	98
uçub	98
birinci	98
ah	98
gəlsin	98
sirri	98
nigar	98
deyirsən	97
adamları	97
gedəndə	97
odur	97
and	97
görəsən	97
qapı	97
kəndli	97
gedirəm	96
paltar	96
qəşəng	96
nəfər	95
yel	95
padişahın	95
kimin	95
xoş	95
artıq	95
tacirin	95
dənə	95
bağa	95
yerində	94
oğlana	94
götür	94
bırda	94
otağa	94
dünya	94
yolu	94
qardaşı	94
süleyman	94
bını	94
xahiş	94
şir	93
gedirdi	93
olacaq	93
bağlayıb	93
paltarı	93
it	93
qırağında	92
şad	92
kağızı	92
eşit	92
suyu	92
lakin	92
adı	92
yığıb	91
ox	91
getsin	91
lan	91
çıxarıb	90
eləməyə	90
yedilər	90
devin	90
birbaş	90
başından	90
hüzuruna	89
sözünə	89
bilmirdi	89
bilməz	89
həkim	89
uzun	88
tay	88
burdan	88
apardılar	88
adlı	88
keçib	88
arvadın	88
deyim	87
dava	87
yolun	87
oğlum	87
qaldırıb	87
tədbir	87
gözünün	87
adamın	87
gözü	87
davam	87
gedirsən	87
yadına	87
balıq	86
işin	86
sözləri	86
allahverdi	86
dur	85
tökdü	85
ağıllı	85
doqquz	85
insan	84
hə	84
paltarını	84
qırmızı	84
qaraqaş	84
təzədən	83
dibində	83
qalmışdı	83
başın	83
çıxır	83
əhmədin	83
sənnən	83
ağzını	82
evin	82
şəhər	82
qızına	82
mindi	82
tamaşa	82
öldü	81
düşür	81
sudan	81
ala	81
suyun	81
tapdı	81
nərə	81
qəbul	81
şahın	81
yaxın	81
evdən	81
azad	81
qırağına	80
üstündən	80
deyirdi	80
çıxan	80
yeməyə	80
dəst	80
başdadı	80
onnan	80
öldürdü	79
ikinci	79
aşiq	79
dayandı	79
xörəyi	79
boynuna	79
yerin	79
gözlərini	79
yekə	78
yuxudan	78
sevindi	78
saa	78
qoşunu	78
versin	78
olduğunu	78
geyinib	78
xanın	78
qılıncını	78
bilər	77
qorxma	77
adını	77
verərəm	77
yaman	77
istəyəndə	77
olanda	77
eləsin	76
vəzirə	76
allaha	76
işdi	76
anasının	76
ducar	76
bir-birinə	75
günündə	75
gözünə	75
adama	75
qurtardı	75
ordan	75
baxanda	75
dovşan	74
sahibi	74
divin	74
halda	74
oxuyub	74
arvadına	74
arasında	74
keçəlin	74
xeyr	73
altı	73
tək	73
gedin	73
işıq	73
öldürüb	73
bilmir	73
gəlmişəm	73
gələr	73
lazımdır	73
istəmir	73
kənara	73
şükufə	73
evi	72
tapşırdı	72
vallah	72
canı	72
saldılar	72
gəlirdi	72
təzə	72
yatıb	72
budur	72
məlikməmməd	72
rahib	72
irəli	71
zaman	71
tərəfdə	71
gedərsən	71
atasına	71
gəzib	71
ləl	71
xanıma	71
şəkli	71
çıx	70
yerini	70
olmasa	70
qaranlıq	70
kağız	70
aradan	69
kəsdi	69
bilir	69
dayanıb	69
hərəsi	69
üzüyü	69
paçcaha	69
ət	69
məmməd	69
səma	69
demə	68
dəyirman	68
bilirsən	68
lazımdı	68
atdan	68
eləyir	68
xilas	68
nəhayət	68
agah	68
göyərçin	68
yazıq	68
geyib	68
fikrə	68
oturmuşdu	68
yaxşısı	68
bilməyib	68
daxil	68
canavar	68
gənc	68
qalsın	67
mənzil	67
baxırdı	67
bilmərəm	67
usta	67
daşa	67
əjdahanın	67
olmuşdu	67
firəng	67
günəş	67
əmir	67
qan	66
saxladı	66
imarət	66
gözünü	66
məəttəl	66
onunla	66
qardaşları	66
bının	66
sənubər	66
gətirin	65
yatdılar	65
görürəm	65
brahimə	65
bilərsən	65
gəldim	65
qəhrəman	65
yapışdı	65
deyirəm	65
darğa	65
baba	64
vəkil	64
deyirlər	64
dediyi	64
divlər	64
quşun	64
deyərsən	64
günün	64
səfər	64
meydana	64
sandığı	64
qul	64
simurq	64
qəmər	64
çayın	63
deyən	63
bayıra	63
gedəcəyəm	63
armud	63
elçi	63
ova	63
məhəmmədi	63
gəzməyə	63
ağaca	63
gəlmisən	63
oxudu	63
yıxılıb	63
mirzə	63
pirim	63
dəşküvar	63
şirin	62
zalım	62
şeyi	62
əməl	62
deyəsən	62
dəmir	62
çay	62
kimdi	62
otağına	62
bağbanın	62
qapıdan	61
dağ	61
atan	61
dibinə	61
deyin	61
qırıb	61
buraxdı	61
ələ	61
göydə	61
arvadının	61
devlər	61
gedən	61
ayılıb	61
fil	61
qalaçaya	61
görünür	61
quyudan	60
dəvə	60
almaq	60
anasına	60
şəhərdən	60
gözlədi	60
ayağı	60
əlacı	60
əvvəl	60
yuxu	60
barxudar	60
kasıb	60
bağban	60
qapının	60
güllü	60
birlikdə	59
adamdı	59
məhəmmədin	59
verirəm	59
deyiləm	59
azdan	59
olum	59
töküb	59
bilmədilər	59
qərara	59
kimsən	59
keçirdi	59
boyda	59
altından	59
vay	59
salam	59
axtarmağa	58
bərkdən	58
eşidib	58
bacısı	58
bilirəm	58
gedə	58
quyu	58
məsləhət	58
gizləndi	58
birinin	58
dünyaya	58
öldürmək	57
düyü	57
gələcək	57
getmişdi	57
əmisi	57
aman	57
qızdan	57
ilanı	57
gəlmədi	57
içindən	57
ağır	57
yarı	57
pulu	57
gecənin	57
yenidən	57
xalça	57
zümrüd	57
qanad	56
salamat	56
gözdən	56
oxu	56
dolandı	56
üzündə	56
qaldılar	56
şəhəri	56
odun	56
qızları	56
birində	56
uşax	56
zərğova	56
meşə	56
od	55
qapıya	55
gümüş	55
ömür	55
bərabər	55
çatanda	55
arvadını	55
əmi	55
qarını	55
yollandı	55
gətirsin	55
nar	55
balası	55
sövdəgər	55
bunlara	54
