word	frequency
istəyirsən	86
tədbir	86
çölə	86
həm	86
allahverdi	86
gəlin	85
özüm	85
dava	85
gözləri	85
bağlayıb	85
qardaşı	85
gəlsin	85
aşağı	85
yerində	84
gedirəm	84
dünya	84
paltarı	84
qaraqaş	84
dur	83
işi	83
kəsib	83
dörd	83
yedilər	83
bağladı	83
əvvəlcə	83
xoş	83
doğrudan	83
vaxtı	83
əhmədin	83
sənnən	83
qapı	83
əli	83
oldular	82
bazara	82
istəyirəm	82
deyim	81
deyirsən	81
tay	81
etdi	81
səs	81
həkim	81
uşaq	81
qurbağa	81
hansı	80
nəfər	80
dəst	80
başdadı	80
gözünün	80
onnan	80
gözü	80
ağzına	80
başın	79
birbaş	79
paltarını	79
oğlana	78
saa	78
işin	78
çıxır	78
xörəyi	78
süleyman	78
dibində	77
göz	77
keçi	76
qırağında	76
burdan	76
apardılar	76
sözünə	76
getmək	76
aşiq	76
meşəyə	76
geyinib	76
ducar	76
arvadın	75
cür	75
sözünü	74
ağacı	74
yolun	74
nərə	74
versin	74
ox	74
işdi	74
lazım	74
eləməyə	73
yığıb	73
qoşunu	73
qorxma	73
qızına	73
hüzuruna	73
başından	73
tamaşa	73
paltar	73
şükufə	73
parça	72
xeyr	72
düşür	72
olacaq	72
gedin	72
otağa	72
vəzirə	72
yolu	72
gedirsən	72
mindi	72
lan	72
məlikməmməd	72
gedirdi	71
oğlum	71
təzədən	71
orada	71
gedərsən	71
oxuyub	71
görəsən	71
keçib	71
ləl	71
bilməz	71
xanıma	71
keçəlin	71
yerindən	70
sudan	70
günündə	70
istəyirdi	70
vallah	70
odur	70
adamlar	70
ürəyi	70
yadına	70
adı	70
azad	70
yatıb	70
kağız	70
qaçıb	69
çoxlu	69
öldürüb	69
öldürdü	69
qəbul	69
ola	69
kimin	69
şəhər	69
doqquz	69
paçcaha	69
yerin	69
məmməd	69
yeri	68
götür	68
gələr	68
istəyəndə	68
ala	67
mənzil	67
eləyir	67
çünki	67
baxanda	67
firəng	67
çıxarıb	66
atdan	66
canı	66
imarət	66
altında	66
allaha	66
üzüyü	66
üçüncü	66
bının	66
sənubər	66
pələng	65
şir	65
qırağına	65
qaldırıb	65
suyun	65
bilmir	65
agah	65
brahimə	65
